# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 4.043877720832824707e-01 3.549423813819885254e-01 1.303611636161804199e+00
1.000000000000000000e+03 2.725060039665549994e-04 2.787945850286632776e-04 3.653519600629806519e-02
2.000000000000000000e+03 7.973882020451128483e-05 1.055024040397256613e-04 2.247503958642482758e-02
3.000000000000000000e+03 5.361454896046780050e-05 7.978425855981186032e-05 1.954464986920356750e-02
4.000000000000000000e+03 3.219008794985711575e-05 5.830257214256562293e-05 1.670756377279758453e-02
5.000000000000000000e+03 1.260089447896461934e-05 3.605050369515083730e-05 1.313786953687667847e-02
6.000000000000000000e+03 1.099117980629671365e-05 2.732300526986364275e-05 1.143756415694952011e-02
7.000000000000000000e+03 1.270102984562981874e-06 1.842632809712085873e-05 9.392661973834037781e-03
8.000000000000000000e+03 8.732059200156072620e-07 1.704144960967823863e-05 9.032803587615489960e-03
9.000000000000000000e+03 2.050030161626636982e-06 1.779004924173932523e-05 9.229068644344806671e-03
1.000000000000000000e+04 3.510044280119473115e-06 1.701420660538133234e-05 9.025580249726772308e-03
